No.,Player,GP,GS,MIN,AVG,FG,FGA,PCT,3FG,3FGA,PCT,FT,FTA,PCT,OFF,DEF,TOT,AVG,PF,DQ,A,A/G,TO,TO/G,A/TO,BLK,BLK/G,STL,STL/G,PTS,AVG,Team
08,Abdul Kamane,16,13,493,30.8,69,165,41.8,9,25,36.0,65,98,66.3,41,75,116,7.3,36,1,17,1.1,52,3.3,0.3,3,0.2,24,1.5,212,13.3,Bishop's
06,Jonathan Bermillo,16,14,484,30.3,65,212,30.7,35,110,31.8,39,54,72.2,8,57,65,4.1,42,0,55,3.4,40,2.5,1.4,1,0.1,33,2.1,204,12.8,Bishop's
15,Peter Weston,11,8,307,27.9,40,114,35.1,21,67,31.3,31,42,73.8,5,10,15,1.4,22,1,9,0.8,23,2.1,0.4,0,0.0,19,1.7,132,12.0,Bishop's
14,David Belanger,14,11,323,23.1,55,104,52.9,0,0,-,20,33,60.6,23,39,62,4.4,25,0,10,0.7,23,1.6,0.4,1,0.1,4,0.3,130,9.3,Bishop's
11,Nick Harvey,14,9,361,25.8,49,139,35.3,2,16,12.5,26,40,65.0,30,76,106,7.6,44,1,22,1.6,47,3.4,0.5,3,0.2,19,1.4,126,9.0,Bishop's
21,Ben Lusk,1,-,2,2.0,2,2,100.0,0,0,-,0,1,0.0,1,0,1,1.0,0,0,0,0.0,0,0.0,-,0,0.0,0,0.0,4,4.0,Bishop's
07,Yassin Naji,15,7,311,20.7,19,62,30.6,3,13,23.1,12,22,54.5,23,33,56,3.7,29,0,15,1.0,23,1.5,0.7,3,0.2,8,0.5,53,3.5,Bishop's
23,Duncan Lambert,16,4,208,13.0,17,44,38.6,3,15,20.0,12,20,60.0,8,17,25,1.6,33,2,4,0.3,14,0.9,0.3,0,0.0,2,0.1,49,3.1,Bishop's
05,Austin Macklem,16,1,235,14.7,17,53,32.1,7,28,25.0,6,18,33.3,3,20,23,1.4,30,0,8,0.5,15,0.9,0.5,0,0.0,9,0.6,47,2.9,Bishop's
22,Owen Martel,12,-,138,11.5,13,30,43.3,6,16,37.5,0,0,-,7,14,21,1.8,24,1,2,0.2,16,1.3,0.1,1,0.1,4,0.3,32,2.7,Bishop's
00,Jonah Fogg,16,3,148,9.3,17,42,40.5,0,0,-,8,14,57.1,17,26,43,2.7,21,0,3,0.2,19,1.2,0.2,4,0.3,3,0.2,42,2.6,Bishop's
04,Luay Abow,12,-,126,10.5,5,22,22.7,0,6,0.0,3,6,50.0,1,9,10,0.8,12,0,9,0.8,19,1.6,0.5,0,0.0,5,0.4,13,1.1,Bishop's
