No.,Player,GP,GS,MIN,AVG,FG,FGA,PCT,3FG,3FGA,PCT,FT,FTA,PCT,OFF,DEF,TOT,AVG,PF,DQ,A,A/G,TO,TO/G,A/TO,BLK,BLK/G,STL,STL/G,PTS,AVG,Team
23,Aaron Redpath,19,18,579,30.5,77,196,39.3,26,93,28.0,54,84,64.3,23,77,100,5.3,44,0,62,3.3,46,2.4,1.3,7,0.4,53,2.8,234,12.3,McMaster
22,Rohan Boney,17,7,385,22.6,72,132,54.5,3,17,17.6,37,59,62.7,43,74,117,6.9,20,0,44,2.6,26,1.5,1.7,10,0.6,11,0.6,184,10.8,McMaster
11,Connor Gilmore,14,13,350,25.0,56,129,43.4,21,54,38.9,16,22,72.7,23,57,80,5.7,36,1,22,1.6,21,1.5,1.0,3,0.2,8,0.6,149,10.6,McMaster
4,Trevon McNeil,17,11,396,23.3,42,121,34.7,19,61,31.1,35,46,76.1,11,28,39,2.3,37,0,32,1.9,21,1.2,1.5,1,0.1,18,1.1,138,8.1,McMaster
44,Lazar Kojovic,19,-,295,15.5,41,89,46.1,17,50,34.0,14,20,70.0,26,31,57,3.0,36,1,14,0.7,20,1.1,0.7,12,0.6,19,1.0,113,5.9,McMaster
21,David McCulloch,17,1,413,24.3,34,66,51.5,8,31,25.8,22,25,88.0,9,34,43,2.5,33,0,26,1.5,30,1.8,0.9,2,0.1,21,1.2,98,5.8,McMaster
6,Chris Thompson,16,-,143,8.9,17,50,34.0,7,30,23.3,7,15,46.7,6,10,16,1.0,17,0,11,0.7,11,0.7,1.0,1,0.1,5,0.3,48,3.0,McMaster
10,Matt Quiring,13,5,131,10.1,11,27,40.7,0,7,0.0,0,3,0.0,10,21,31,2.4,19,0,1,0.1,11,0.8,0.1,4,0.3,1,0.1,22,1.7,McMaster
42,Jan Hirjak,8,-,23,2.9,4,11,36.4,0,0,-,3,6,50.0,2,5,7,0.9,3,0,1,0.1,2,0.3,0.5,0,0.0,0,0.0,11,1.4,McMaster
25,Andre Toic,5,-,10,2.0,1,3,33.3,0,0,-,3,5,60.0,1,3,4,0.8,3,0,0,0.0,0,0.0,-,0,0.0,2,0.4,5,1.0,McMaster
33,Marko Grahovac,6,-,17,2.8,1,4,25.0,0,3,0.0,2,3,66.7,0,2,2,0.3,0,0,2,0.3,0,0.0,-,0,0.0,0,0.0,4,0.7,McMaster
12,Danylo Kostecki,7,-,20,2.9,1,9,11.1,1,7,14.3,0,0,-,1,0,1,0.1,2,0,0,0.0,0,0.0,-,1,0.1,1,0.1,3,0.4,McMaster
45,Lucas Marsden,3,-,11,3.7,0,3,0.0,0,1,0.0,0,0,-,1,2,3,1.0,3,0,0,0.0,2,0.7,0.0,0,0.0,1,0.3,0,0.0,McMaster
9,Jason Quiring,1,-,0,.0,0,0,-,0,0,-,0,0,-,0,0,0,0.0,0,0,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,McMaster
44,Vasilije Curcic,17,17,569,33.5,132,277,47.7,20,57,35.1,62,85,72.9,42,97,139,8.2,42,1,32,1.9,37,2.2,0.9,33,1.9,8,0.5,346,20.4,Memorial
33,Caleb Gould,19,18,541,28.5,112,239,46.9,2,8,25.0,68,91,74.7,63,97,160,8.4,33,0,34,1.8,42,2.2,0.8,2,0.1,11,0.6,294,15.5,Memorial
22,Daniel Gordon,20,8,511,25.6,81,222,36.5,33,112,29.5,43,52,82.7,17,43,60,3.0,46,0,47,2.4,57,2.9,0.8,3,0.2,18,0.9,238,11.9,Memorial
5,Davion Parnsalu,20,20,637,31.9,61,189,32.3,15,60,25.0,86,112,76.8,16,68,84,4.2,38,0,84,4.2,41,2.1,2.0,1,0.1,35,1.8,223,11.2,Memorial
7,Noel Moffatt,20,16,470,23.5,80,177,45.2,15,69,21.7,30,40,75.0,34,84,118,5.9,36,0,28,1.4,24,1.2,1.2,3,0.2,30,1.5,205,10.3,Memorial
14,Alphaeus Kisusi,20,14,372,18.6,45,108,41.7,20,57,35.1,13,23,56.5,4,34,38,1.9,33,0,22,1.1,28,1.4,0.8,3,0.2,5,0.3,123,6.2,Memorial
40,Austin Chambers,18,-,166,9.2,17,41,41.5,10,25,40.0,8,9,88.9,4,15,19,1.1,9,0,11,0.6,9,0.5,1.2,0,0.0,5,0.3,52,2.9,Memorial
52,Jovan Babovic,16,2,265,16.6,14,42,33.3,2,19,10.5,13,24,54.2,9,30,39,2.4,31,2,28,1.8,18,1.1,1.6,2,0.1,15,0.9,43,2.7,Memorial
24,Deng Ring,16,4,171,10.7,14,35,40.0,3,8,37.5,7,12,58.3,6,15,21,1.3,18,0,10,0.6,15,0.9,0.7,3,0.2,7,0.4,38,2.4,Memorial
12,Liam Dunphy,18,-,115,6.4,12,37,32.4,8,30,26.7,4,4,100.0,5,11,16,0.9,5,0,5,0.3,1,0.1,5.0,0,0.0,0,0.0,36,2.0,Memorial
9,Kieran Hawksley,15,-,88,5.9,10,29,34.5,4,16,25.0,1,2,50.0,2,8,10,0.7,11,1,10,0.7,4,0.3,2.5,1,0.1,2,0.1,25,1.7,Memorial
13,Greg Manuel,18,1,137,7.6,11,31,35.5,0,0,-,3,7,42.9,10,9,19,1.1,6,0,6,0.3,4,0.2,1.5,0,0.0,4,0.2,25,1.4,Memorial
11,Jacob Hynes,17,-,84,4.9,4,5,80.0,1,1,100.0,0,0,-,2,5,7,0.4,8,-,6,0.4,6,0.4,1.0,1,0.1,0,0.0,9,0.5,Memorial
15,Brett Layton,20,20,578,28.9,127,233,54.5,0,1,0.0,86,164,52.4,84,140,224,11.2,44,0,32,1.6,43,2.2,0.7,53,2.7,38,1.9,340,17.0,Mount
08,Derek Wolf,20,20,647,32.4,109,268,40.7,49,140,35.0,36,46,78.3,11,63,74,3.7,35,0,58,2.9,61,3.1,1.0,4,0.2,25,1.3,303,15.2,Mount
11,James Lefebvre,20,20,595,29.8,104,208,50.0,2,7,28.6,66,117,56.4,57,81,138,6.9,46,2,28,1.4,38,1.9,0.7,15,0.8,26,1.3,276,13.8,Mount
13,Glen Yang,20,20,556,27.8,74,203,36.5,13,61,21.3,50,67,74.6,10,45,55,2.8,46,0,56,2.8,43,2.2,1.3,0,0.0,25,1.3,211,10.6,Mount
12,Noah Lewis,4,4,95,23.8,7,24,29.2,5,16,31.3,3,4,75.0,1,4,5,1.3,6,-,8,2.0,9,2.3,0.9,0,0.0,2,0.5,22,5.5,Mount
07,Neil Phillip,20,16,430,21.5,38,96,39.6,7,35,20.0,15,27,55.6,17,42,59,3.0,52,1,23,1.2,32,1.6,0.7,15,0.8,18,0.9,98,4.9,Mount
06,Matthew Gray,19,-,208,10.9,28,67,41.8,12,32,37.5,14,21,66.7,3,23,26,1.4,18,0,18,0.9,24,1.3,0.8,1,0.1,7,0.4,82,4.3,Mount
02,Ray Goff,20,-,229,11.5,29,65,44.6,0,2,0.0,20,39,51.3,28,28,56,2.8,43,2,6,0.3,27,1.4,0.2,7,0.4,2,0.1,78,3.9,Mount
05,Ryan Cunningham,15,-,182,12.1,22,55,40.0,5,20,25.0,9,17,52.9,5,24,29,1.9,28,0,12,0.8,22,1.5,0.5,1,0.1,10,0.7,58,3.9,Mount
09,Tyis Yellow Horn,18,-,296,16.4,18,58,31.0,12,38,31.6,18,25,72.0,6,21,27,1.5,11,0,26,1.4,21,1.2,1.2,1,0.1,8,0.4,66,3.7,Mount
14,Tethloach Thokhuom,20,-,157,7.9,8,24,33.3,0,1,0.0,4,4,100.0,12,38,50,2.5,14,0,3,0.2,19,1.0,0.2,16,0.8,3,0.2,20,1.0,Mount
13,Marcus Lewis,19,19,634,33.4,88,216,40.7,2,17,11.8,89,116,76.7,31,106,137,7.2,44,1,39,2.1,94,4.9,0.4,5,0.3,30,1.6,267,14.1,Nipissing
6,Jordon Campbell,11,11,334,30.4,40,138,29.0,10,39,25.6,17,22,77.3,16,40,56,5.1,19,0,31,2.8,17,1.5,1.8,3,0.3,14,1.3,107,9.7,Nipissing
4,Joey Puddister,19,16,622,32.7,51,145,35.2,36,96,37.5,22,28,78.6,12,41,53,2.8,46,0,76,4.0,38,2.0,2.0,0,0.0,20,1.1,160,8.4,Nipissing
5,Marvin Ngonadi,19,19,434,22.8,56,135,41.5,0,0,-,36,56,64.3,40,42,82,4.3,50,2,14,0.7,41,2.2,0.3,2,0.1,6,0.3,148,7.8,Nipissing
9,Kalil Langston,19,6,409,21.5,47,108,43.5,9,32,28.1,24,31,77.4,48,66,114,6.0,47,1,12,0.6,31,1.6,0.4,16,0.8,9,0.5,127,6.7,Nipissing
10,Ismael Kaba,6,1,84,14.0,12,24,50.0,9,19,47.4,1,2,50.0,1,2,3,0.5,2,0,7,1.2,6,1.0,1.2,1,0.2,3,0.5,34,5.7,Nipissing
8,Jordan Roberts,19,4,272,14.3,41,93,44.1,0,1,0.0,21,31,67.7,25,28,53,2.8,22,0,5,0.3,17,0.9,0.3,1,0.1,6,0.3,103,5.4,Nipissing
11,Wil Konybai,17,4,239,14.1,32,98,32.7,18,67,26.9,9,12,75.0,7,19,26,1.5,20,0,9,0.5,28,1.6,0.3,1,0.1,7,0.4,91,5.4,Nipissing
7,Jerron Rhodes,19,11,488,25.7,31,113,27.4,4,28,14.3,34,43,79.1,9,42,51,2.7,30,1,47,2.5,45,2.4,1.0,0,0.0,23,1.2,100,5.3,Nipissing
2,Michael Angenent,14,5,165,11.8,17,39,43.6,2,5,40.0,12,17,70.6,8,24,32,2.3,18,1,5,0.4,13,0.9,0.4,0,0.0,3,0.2,48,3.4,Nipissing
12,Kemel Archer,2,-,3,1.5,1,3,33.3,0,1,0.0,0,0,-,0,0,0,0.0,0,0,0,0.0,0,0.0,-,0,0.0,0,0.0,2,1.0,Nipissing
22,Chris Kolar,9,-,22,2.4,1,4,25.0,0,1,0.0,0,0,-,0,0,0,0.0,4,0,3,0.3,0,0.0,-,0,0.0,0,0.0,2,0.2,Nipissing
23,Marcos Clennon,1,-,7,7.0,0,2,0.0,0,0,-,0,0,-,0,1,1,1.0,0,0,0,0.0,0,0.0,-,1,1.0,1,1.0,0,0.0,Nipissing
21,D'Shawn Johnson,1,-,0,.0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0.0,0,0,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Nipissing
11,Mike L'Africain,19,19,596,31.4,135,283,47.7,51,122,41.8,67,78,85.9,10,59,69,3.6,27,1,101,5.3,57,3.0,1.8,3,0.2,36,1.9,388,20.4,Ottawa
06,Caleb Agada,14,12,380,27.1,80,153,52.3,18,47,38.3,43,67,64.2,27,94,121,8.6,34,1,55,3.9,36,2.6,1.5,7,0.5,38,2.7,221,15.8,Ottawa
13,Nathan McCarthy,19,19,386,20.3,86,142,60.6,0,1,0.0,40,61,65.6,30,78,108,5.7,32,0,14,0.7,25,1.3,0.6,39,2.1,3,0.2,212,11.2,Ottawa
15,Brody Maracle,16,-,272,17.0,60,93,64.5,0,0,-,33,51,64.7,24,50,74,4.6,28,0,15,0.9,23,1.4,0.7,4,0.3,9,0.6,153,9.6,Ottawa
09,Matt Plunkett,18,-,377,20.9,56,111,50.5,39,89,43.8,9,10,90.0,18,61,79,4.4,31,0,20,1.1,16,0.9,1.3,9,0.5,21,1.2,160,8.9,Ottawa
01,Vikas Gill,19,19,393,20.7,46,116,39.7,24,77,31.2,13,18,72.2,20,41,61,3.2,23,0,27,1.4,18,0.9,1.5,4,0.2,12,0.6,129,6.8,Ottawa
10,Brandon Robinson,19,5,373,19.6,36,115,31.3,21,75,28.0,34,41,82.9,8,37,45,2.4,26,0,13,0.7,20,1.1,0.7,7,0.4,18,0.9,127,6.7,Ottawa
05,Mehdi Tihani,19,15,453,23.8,38,93,40.9,21,63,33.3,18,28,64.3,15,45,60,3.2,44,0,43,2.3,21,1.1,2.0,7,0.4,27,1.4,115,6.1,Ottawa
07,Mackenzie Morrison,15,5,240,16.0,21,45,46.7,9,25,36.0,10,13,76.9,17,41,58,3.9,19,1,4,0.3,10,0.7,0.4,3,0.2,5,0.3,61,4.1,Ottawa
22,Noel Jones,13,-,73,5.6,14,21,66.7,0,0,-,5,6,83.3,3,9,12,0.9,14,0,1,0.1,7,0.5,0.1,8,0.6,0,0.0,33,2.5,Ottawa
31,Zach Traer,3,1,21,7.0,2,4,50.0,2,3,66.7,0,0,-,0,1,1,0.3,0,0,0,0.0,1,0.3,0.0,0,0.0,0,0.0,6,2.0,Ottawa
03,Calvin Epistola,19,-,147,7.7,12,36,33.3,5,25,20.0,6,12,50.0,2,15,17,0.9,18,0,13,0.7,16,0.8,0.8,0,0.0,12,0.6,35,1.8,Ottawa
12,Andrew DeGroot,7,-,28,4.0,2,7,28.6,0,1,0.0,2,7,28.6,4,4,8,1.1,4,0,0,0.0,1,0.1,0.0,1,0.1,1,0.1,6,0.9,Ottawa
14,Malick Turenne,14,-,42,3.0,2,5,40.0,1,4,25.0,0,4,0.0,2,2,4,0.3,2,0,1,0.1,5,0.4,0.2,0,0.0,1,0.1,5,0.4,Ottawa
7,Sukhpreet Singh,19,19,600,31.6,148,326,45.4,23,73,31.5,104,138,75.4,27,89,116,6.1,39,1,58,3.1,74,3.9,0.8,1,0.1,33,1.7,423,22.3,Queen's
12,Tanner Graham,17,17,528,31.1,76,190,40.0,37,109,33.9,38,50,76.0,27,97,124,7.3,30,0,18,1.1,25,1.5,0.7,30,1.8,12,0.7,227,13.4,Queen's
20,Ryall Stroud,18,18,366,20.3,53,122,43.4,0,0,-,57,86,66.3,31,51,82,4.6,62,2,16,0.9,17,0.9,0.9,5,0.3,7,0.4,163,9.1,Queen's
11,Patrick Street,7,2,151,21.6,21,53,39.6,8,30,26.7,10,14,71.4,5,11,16,2.3,13,0,4,0.6,6,0.9,0.7,0,0.0,4,0.6,60,8.6,Queen's
14,Andrew Mavety,18,4,317,17.6,46,98,46.9,32,62,51.6,12,14,85.7,22,26,48,2.7,17,0,12,0.7,15,0.8,0.8,0,0.0,13,0.7,136,7.6,Queen's
22,Mark Paclibar,19,3,354,18.6,33,87,37.9,10,40,25.0,23,27,85.2,6,42,48,2.5,43,0,35,1.8,37,1.9,0.9,0,0.0,15,0.8,99,5.2,Queen's
6,Mike Shoveller,19,16,333,17.5,39,100,39.0,8,33,24.2,8,12,66.7,22,72,94,4.9,38,0,12,0.6,21,1.1,0.6,19,1.0,2,0.1,94,4.9,Queen's
8,Jesse Graham,19,-,215,11.3,38,74,51.4,0,5,0.0,15,22,68.2,17,33,50,2.6,24,0,10,0.5,19,1.0,0.5,4,0.2,1,0.1,91,4.8,Queen's
13,Sammy Ayisi,19,16,438,23.1,30,90,33.3,12,31,38.7,11,14,78.6,7,40,47,2.5,23,1,24,1.3,25,1.3,1.0,1,0.1,17,0.9,83,4.4,Queen's
10,Vincent Wood,13,-,147,11.3,14,32,43.8,5,12,41.7,5,10,50.0,9,14,23,1.8,15,0,10,0.8,14,1.1,0.7,0,0.0,4,0.3,38,2.9,Queen's
21,Mike Blumel,17,-,193,11.4,12,25,48.0,2,7,28.6,15,29,51.7,7,20,27,1.6,11,0,1,0.1,13,0.8,0.1,0,0.0,2,0.1,41,2.4,Queen's
9,Russell Winters,14,-,95,6.8,6,18,33.3,0,2,0.0,2,2,100.0,10,11,21,1.5,11,0,2,0.1,4,0.3,0.5,0,0.0,3,0.2,14,1.0,Queen's
23,Cameron McKinnon,2,-,0,.0,0,0,-,0,0,-,0,0,-,0,0,0,0.0,0,-,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Queen's
15,Ross Vrana-Godwin,6,-,0,.0,0,0,-,0,0,-,0,0,-,0,0,0,0.0,0,-,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Queen's
06,Jonathan Tull,20,20,614,30.7,111,262,42.4,18,77,23.4,97,131,74.0,33,70,103,5.2,46,2,42,2.1,52,2.6,0.8,6,0.3,49,2.5,337,16.9,Regina
05,Brandon Tull,20,20,533,26.7,81,185,43.8,17,59,28.8,56,81,69.1,31,44,75,3.8,61,3,39,2.0,32,1.6,1.2,6,0.3,40,2.0,235,11.8,Regina
04,Alex Igual,20,20,518,25.9,81,218,37.2,39,117,33.3,14,33,42.4,12,99,111,5.6,31,0,49,2.5,46,2.3,1.1,1,0.1,32,1.6,215,10.8,Regina
01,Aaron McGowan,20,-,457,22.9,56,152,36.8,22,60,36.7,54,68,79.4,4,66,70,3.5,34,1,55,2.8,49,2.5,1.1,3,0.2,27,1.4,188,9.4,Regina
11,Brian Ofori,20,-,387,19.4,61,120,50.8,1,4,25.0,34,53,64.2,39,56,95,4.8,50,2,27,1.4,32,1.6,0.8,21,1.1,18,0.9,157,7.9,Regina
15,Will Tallman,20,20,520,26.0,52,124,41.9,22,55,40.0,15,20,75.0,33,71,104,5.2,47,0,18,0.9,15,0.8,1.2,4,0.2,10,0.5,141,7.1,Regina
07,Travis Sylvestre,18,4,284,15.8,51,110,46.4,2,14,14.3,19,37,51.4,28,43,71,3.9,34,0,14,0.8,24,1.3,0.6,7,0.4,3,0.2,123,6.8,Regina
14,Stephen Shields,20,16,329,16.5,60,122,49.2,2,9,22.2,13,32,40.6,41,51,92,4.6,33,0,18,0.9,22,1.1,0.8,8,0.4,7,0.4,135,6.8,Regina
08,Mike Malecha,16,-,155,9.7,16,49,32.7,10,38,26.3,5,9,55.6,2,12,14,0.9,25,0,9,0.6,7,0.4,1.3,1,0.1,6,0.4,47,2.9,Regina
10,Rawane Ndiaye,8,-,64,8.0,7,27,25.9,0,0,-,8,12,66.7,5,10,15,1.9,14,0,0,0.0,10,1.3,0.0,1,0.1,1,0.1,22,2.8,Regina
02,Samuel Hillis,18,-,103,5.7,7,22,31.8,3,14,21.4,2,6,33.3,5,13,18,1.0,17,0,4,0.2,10,0.6,0.4,0,0.0,2,0.1,19,1.1,Regina
03,Gurkirat Kular,5,-,18,3.6,0,4,0.0,0,3,0.0,1,4,25.0,0,0,0,0.0,4,0,1,0.2,3,0.6,0.3,0,0.0,0,0.0,1,0.2,Regina
09,Brandon Buttazoni,5,-,16,3.2,0,2,0.0,0,1,0.0,0,0,-,0,0,0,0.0,0,0,1,0.2,2,0.4,0.5,0,0.0,0,0.0,0,0.0,Regina
12,Aaron Best,16,14,484,30.3,100,197,50.8,37,85,43.5,47,57,82.5,32,86,118,7.4,26,0,29,1.8,39,2.4,0.7,6,0.4,12,0.8,284,17.8,Ryerson
21,Adika Peter-McNeilly,19,19,591,31.1,101,236,42.8,37,95,38.9,47,51,92.2,29,76,105,5.5,25,0,83,4.4,27,1.4,3.1,6,0.3,37,1.9,286,15.1,Ryerson
4,Ammanuel Diressa,18,7,454,25.2,92,191,48.2,34,90,37.8,50,66,75.8,18,78,96,5.3,43,1,53,2.9,34,1.9,1.6,3,0.2,16,0.9,268,14.9,Ryerson
15,Kadeem Green,14,5,290,20.7,62,137,45.3,3,11,27.3,24,38,63.2,37,60,97,6.9,33,1,8,0.6,12,0.9,0.7,28,2.0,10,0.7,151,10.8,Ryerson
6,Roshane Roberts,18,13,457,25.4,67,169,39.6,27,69,39.1,27,37,73.0,10,50,60,3.3,25,0,41,2.3,29,1.6,1.4,1,0.1,26,1.4,188,10.4,Ryerson
8,Jean-Victor Mukama,13,6,292,22.5,40,82,48.8,19,50,38.0,18,29,62.1,14,50,64,4.9,34,1,13,1.0,27,2.1,0.5,6,0.5,14,1.1,117,9.0,Ryerson
10,Filip Vujadinovic,19,7,336,17.7,52,115,45.2,16,55,29.1,19,27,70.4,16,77,93,4.9,57,1,19,1.0,30,1.6,0.6,12,0.6,19,1.0,139,7.3,Ryerson
22,Juwon Grannum,17,16,356,20.9,44,99,44.4,14,38,36.8,10,14,71.4,36,49,85,5.0,32,1,14,0.8,15,0.9,0.9,9,0.5,12,0.7,112,6.6,Ryerson
9,Adam Voll,11,6,177,16.1,17,49,34.7,2,11,18.2,12,19,63.2,18,20,38,3.5,30,1,5,0.5,8,0.7,0.6,11,1.0,3,0.3,48,4.4,Ryerson
5,JP Kambola,2,1,29,14.5,2,5,40.0,1,2,50.0,1,2,50.0,1,5,6,3.0,2,0,1,0.5,3,1.5,0.3,3,1.5,1,0.5,6,3.0,Ryerson
23,Derrick Allahyarian,12,-,120,10.0,10,38,26.3,8,32,25.0,2,4,50.0,6,11,17,1.4,14,0,2,0.2,5,0.4,0.4,0,0.0,1,0.1,30,2.5,Ryerson
3,Andy Agyepong,16,1,118,7.4,12,41,29.3,1,16,6.3,11,11,100.0,4,13,17,1.1,15,0,13,0.8,14,0.9,0.9,1,0.1,9,0.6,36,2.3,Ryerson
11,Theodrose Demeke,11,-,45,4.1,5,16,31.3,4,9,44.4,5,5,100.0,3,3,6,0.5,6,0,1,0.1,8,0.7,0.1,1,0.1,5,0.5,19,1.7,Ryerson
14,Jupvir Atwal,10,-,43,4.3,4,14,28.6,2,10,20.0,2,2,100.0,1,1,2,0.2,4,0,2,0.2,3,0.3,0.7,1,0.1,2,0.2,12,1.2,Ryerson
11,Brian Rouse,19,18,627,33.0,130,254,51.2,7,24,29.2,71,110,64.5,37,87,124,6.5,49,0,57,3.0,39,2.1,1.5,9,0.5,29,1.5,338,17.8,Saint
22,Theon Reefer,20,18,626,31.3,126,313,40.3,23,84,27.4,38,66,57.6,34,84,118,5.9,60,1,38,1.9,55,2.8,0.7,13,0.7,26,1.3,313,15.7,Saint
15,Osman Barrie,18,17,516,28.7,108,192,56.3,0,3,0.0,55,81,67.9,72,104,176,9.8,55,3,21,1.2,53,2.9,0.4,10,0.6,16,0.9,271,15.1,Saint
8,Marquis Clayton,16,10,470,29.4,67,179,37.4,28,88,31.8,46,55,83.6,7,39,46,2.9,28,0,55,3.4,39,2.4,1.4,4,0.3,17,1.1,208,13.0,Saint
12,Kemar Alleyne,20,19,650,32.5,88,182,48.4,22,54,40.7,60,76,78.9,20,80,100,5.0,66,5,47,2.4,27,1.4,1.7,1,0.1,21,1.1,258,12.9,Saint
6,Ryan Augustine,19,13,458,24.1,35,95,36.8,11,44,25.0,16,25,64.0,17,34,51,2.7,53,2,25,1.3,26,1.4,1.0,3,0.2,18,0.9,97,5.1,Saint
21,Achuil Lual,19,4,338,17.8,36,78,46.2,0,3,0.0,12,18,66.7,31,46,77,4.1,23,0,15,0.8,13,0.7,1.2,6,0.3,3,0.2,84,4.4,Saint
7,Aaron Fisher,9,1,75,8.3,12,21,57.1,0,0,-,8,11,72.7,10,13,23,2.6,19,1,2,0.2,7,0.8,0.3,4,0.4,1,0.1,32,3.6,Saint
5,Kadeem Thompson,18,-,157,8.7,12,48,25.0,8,35,22.9,7,10,70.0,4,10,14,0.8,19,0,12,0.7,12,0.7,1.0,0,0.0,7,0.4,39,2.2,Saint
13,Will Fiander,17,-,128,7.5,10,28,35.7,2,12,16.7,8,13,61.5,3,16,19,1.1,12,0,15,0.9,7,0.4,2.1,1,0.1,9,0.5,30,1.8,Saint
9,Alfred Burgesson,11,-,23,2.1,2,5,40.0,2,5,40.0,0,0,-,0,1,1,0.1,3,0,0,0.0,0,0.0,-,0,0.0,2,0.2,6,0.5,Saint
02,Evan Ostertag,20,17,638,31.9,96,239,40.2,37,106,34.9,66,87,75.9,15,46,61,3.1,33,0,47,2.4,44,2.2,1.1,2,0.1,19,1.0,295,14.8,Saskatchewan
14,Shane Osayande,12,12,316,26.3,55,126,43.7,4,20,20.0,52,69,75.4,46,77,123,10.3,36,2,13,1.1,20,1.7,0.7,19,1.6,18,1.5,166,13.8,Saskatchewan
04,Jauquin Bennett-Boire,10,10,305,30.5,52,127,40.9,14,39,35.9,14,20,70.0,4,21,25,2.5,27,0,31,3.1,38,3.8,0.8,1,0.1,5,0.5,132,13.2,Saskatchewan
01,Chan De Ciman,20,17,514,25.7,79,200,39.5,40,116,34.5,51,66,77.3,20,63,83,4.2,68,5,51,2.6,60,3.0,0.9,5,0.3,26,1.3,249,12.5,Saskatchewan
03,Shawn Lathan,19,18,523,27.5,72,179,40.2,31,88,35.2,25,51,49.0,30,62,92,4.8,53,1,22,1.2,29,1.5,0.8,5,0.3,29,1.5,200,10.5,Saskatchewan
00,Alex Unruh,20,1,329,16.5,54,113,47.8,19,48,39.6,32,46,69.6,7,24,31,1.6,52,1,36,1.8,41,2.1,0.9,0,0.0,20,1.0,159,8.0,Saskatchewan
15,Trevor Severinski,20,12,539,27.0,52,112,46.4,37,79,46.8,6,9,66.7,17,76,93,4.7,45,1,14,0.7,13,0.7,1.1,2,0.1,7,0.4,147,7.4,Saskatchewan
10,Mack Burns,20,10,400,20.0,33,85,38.8,2,22,9.1,20,26,76.9,39,82,121,6.1,52,1,10,0.5,25,1.3,0.4,7,0.4,9,0.5,88,4.4,Saskatchewan
06,Jonathan Karwacki,20,1,216,10.8,21,57,36.8,14,43,32.6,7,14,50.0,5,12,17,0.9,14,0,6,0.3,6,0.3,1.0,0,0.0,3,0.2,63,3.2,Saskatchewan
11,Joe Barker,18,2,212,11.8,18,38,47.4,0,0,-,16,19,84.2,23,41,64,3.6,24,0,2,0.1,14,0.8,0.1,0,0.0,6,0.3,52,2.9,Saskatchewan
09,Reid Thuringer,10,-,47,4.7,4,16,25.0,3,8,37.5,1,2,50.0,3,3,6,0.6,5,0,3,0.3,1,0.1,3.0,0,0.0,2,0.2,12,1.2,Saskatchewan
12,Devin Wittow,6,-,13,2.2,2,5,40.0,1,4,25.0,0,0,-,2,3,5,0.8,0,0,0,0.0,0,0.0,-,0,0.0,0,0.0,5,0.8,Saskatchewan
08,Jonathan Halvorson,1,-,2,2.0,0,0,-,0,0,-,0,0,-,0,1,1,1.0,0,-,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Saskatchewan
7,Kevin Bercy,20,20,583,29.2,153,265,57.7,0,0,-,57,75,76.0,66,145,211,10.6,59,1,33,1.7,47,2.4,0.7,3,0.2,25,1.3,363,18.2,StFX
8,Julius Antoine,20,20,645,32.3,110,269,40.9,34,87,39.1,79,103,76.7,39,64,103,5.2,55,2,64,3.2,45,2.3,1.4,3,0.2,34,1.7,333,16.7,StFX
13,Cameron Walker,20,20,555,27.8,87,198,43.9,0,0,-,39,67,58.2,40,76,116,5.8,43,2,13,0.7,36,1.8,0.4,4,0.2,5,0.3,213,10.7,StFX
14,Akil Charles,13,7,288,22.2,42,104,40.4,8,34,23.5,26,37,70.3,6,25,31,2.4,24,0,25,1.9,16,1.2,1.6,1,0.1,12,0.9,118,9.1,StFX
1,Davonte Provo,20,20,644,32.2,52,137,38.0,18,51,35.3,38,56,67.9,7,62,69,3.5,40,1,126,6.3,64,3.2,2.0,1,0.1,24,1.2,160,8.0,StFX
5,Tristen Ross,20,5,415,20.8,45,144,31.3,30,103,29.1,8,8,100.0,5,14,19,1.0,12,0,22,1.1,19,1.0,1.2,1,0.1,12,0.6,128,6.4,StFX
9,Alastair Cole,18,4,253,14.1,34,81,42.0,5,19,26.3,29,40,72.5,12,24,36,2.0,33,0,9,0.5,19,1.1,0.5,2,0.1,13,0.7,102,5.7,StFX
20,Daniel Passley,16,1,170,10.6,18,29,62.1,3,4,75.0,1,9,11.1,6,28,34,2.1,15,-,7,0.4,7,0.4,1.0,1,0.1,2,0.1,40,2.5,StFX
21,Temitayo Shittu,17,1,148,8.7,19,43,44.2,0,0,-,3,7,42.9,10,21,31,1.8,22,-,4,0.2,9,0.5,0.4,1,0.1,3,0.2,41,2.4,StFX
4,Cameron Crieghtney,20,3,232,11.6,17,44,38.6,5,14,35.7,5,14,35.7,2,15,17,0.9,25,0,27,1.4,16,0.8,1.7,5,0.3,14,0.7,44,2.2,StFX
12,Brandon Velocci,7,1,64,9.1,4,7,57.1,3,4,75.0,0,0,-,2,2,4,0.6,5,0,0,0.0,3,0.4,0.0,1,0.1,1,0.1,11,1.6,StFX
